0,1,2
67,92,94
37,82,88
27,105,106
23,82,119
53,81,105
37,76,82
17,29,66
79,109,120
66,68,127
3,6,66
63,66,67
31,44,74
40,48,97
54,67,87
5,109,119
9,48,88
95,110,111
4,13,73
9,63,115
37,51,68
48,63,98
40,94,126
4,76,123
65,102,105
1,18,117
18,88,107
18,28,34
8,9,107
49,66,75
28,76,127
28,36,65
46,66,127
25,72,100
9,30,110
7,66,127
30,46,82
67,96,125
24,34,80
50,81,82
37,55,97
41,82,116
37,48,127
6,36,105
82,91,111
10,28,37
30,37,81
37,46,71
17,46,59
40,46,111
4,35,76
76,78,99
15,24,97
53,66,72
98,112,119
27,57,105
24,76,119
38,42,108
81,82,91
30,60,67
6,81,101
3,82,95
23,104,127
27,37,127
24,29,51
49,51,101
57,78,105
78,100,107
66,76,107
29,95,116
62,82,88
6,24,87
2,37,41
4,28,109
9,48,81
4,59,116
30,50,107
4,9,118
48,63,81
40,48,82
41,75,81
39,67,105
23,52,92
101,111,121
48,63,119
23,44,78
63,85,88
76,87,116
91,93,127
28,35,41
50,107,108
65,66,76
63,100,107
9,48,98
76,100,104
48,59,63
4,115,117
59,67,115
6,72,101
65,81,105
30,50,107
24,51,53
4,41,117
65,66,101
30,40,82
4,50,65
4,60,83
23,29,76
30,92,119
46,48,99
0,37,76
9,70,99
90,98,107
23,37,127
23,105,127
6,17,23
40,50,125
76,94,114
44,72,95
3,91,110
24,82,87
65,81,105
6,55,81
18,59,104
81,102,107
40,48,95
64,115,123
67,82,84
2,76,82
