0,1,2,3
4,10,24,43
34,42,46,60
33,38,48,55
6,11,14,31
4,8,46,54
18,24,54,58
3,4,6,7
9,17,26,57
5,14,46,55
14,25,35,60
17,20,25,35
23,25,35,55
44,45,52,62
7,18,37,48
33,55,56,60
7,39,47,63
5,15,18,38
3,6,29,46
5,33,35,63
3,32,37,45
19,30,38,44
7,39,49,50
18,36,45,56
13,19,46,59
2,5,29,37
16,18,30,55
7,37,48,54
31,37,50,53
10,42,49,59
6,27,41,59
26,30,35,48
12,41,48,59
12,38,52,60
6,18,33,50
13,14,20,25
13,37,39,42
3,35,45,62
6,18,26,61
3,34,36,46
1,25,32,48
18,35,46,61
13,22,32,37
0,8,43,50
26,52,57,60
0,2,5,46
5,8,26,30
5,30,37,62
12,18,33,48
1,4,9,40
3,24,26,54
0,2,42,58
6,14,44,48
5,13,20,63
6,31,36,41
34,45,46,60
3,36,39,58
5,15,24,45
8,18,24,35
3,5,48,54
10,30,47,63
11,22,35,37
10,26,34,38
10,30,48,55
18,19,37,41
