0,1,2
3,93,96
36,103,114
8,32,123
1,11,40
44,81,90
32,88,121
17,76,84
12,95,118
39,40,116
36,51,61
55,84,124
2,22,60
30,39,122
36,65,103
68,75,103
33,106,108
17,118,121
4,14,16
53,80,116
22,34,77
35,48,66
6,51,60
3,16,42
27,98,123
90,112,118
9,60,118
46,94,125
16,51,105
12,37,60
6,26,83
67,88,123
18,23,92
60,69,118
62,89,91
64,72,121
63,99,117
60,100,126
87,99,119
17,95,106
3,47,62
18,66,80
65,82,97
52,90,91
27,28,94
41,85,99
80,105,114
22,39,41
83,102,106
29,60,84
43,63,82
61,83,94
17,42,120
6,44,93
22,23,25
21,55,59
11,12,125
60,101,103
9,66,79
68,90,99
32,109,119
40,54,61
15,40,52
22,41,124
19,51,124
