0,1,2,3
0,1,6,15
1,2,9,15
6,8,12,15
4,8,12,13
1,6,8,15
3,4,6,13
3,9,13,14
4,7,9,11
5,9,14,15
1,2,3,8
0,4,7,10
3,5,11,14
9,10,11,14
1,3,7,11
2,4,9,14
2,5,10,15
9,11,12,15
4,5,9,14
6,11,13,15
2,5,12,15
8,9,11,15
3,7,8,14
5,6,10,12
1,6,7,8
2,3,4,10
0,8,9,14
4,5,10,15
0,5,11,14
2,5,9,13
1,3,11,12
0,11,14,15
0,2,3,14
0,2,10,11
2,4,5,11
0,1,3,14
2,4,14,15
4,7,11,14
2,3,9,10
9,12,14,15
3,8,14,15
3,6,7,9
4,6,8,15
1,3,10,14
1,5,9,14
5,7,10,11
0,7,10,14
0,3,14,15
8,9,10,14
0,2,8,14
2,3,5,14
2,4,9,15
3,5,8,14
3,5,14,15
3,6,10,15
0,1,3,12
2,3,8,9
2,3,4,10
5,7,14,15
0,2,7,11
2,6,7,15
0,6,10,15
3,4,14,15
0,3,9,15
4,5,6,9
