0,1,2,3,4,5
27,32,40,115,122,153
19,39,120,203,205,233
50,61,82,161,167,196
49,88,166,207,216,247
40,55,66,83,194,197
14,18,22,47,102,253
4,17,27,31,205,234
81,106,110,160,231,240
34,55,57,99,122,172
64,104,117,174,205,208
35,58,70,72,76,164
0,26,94,203,251,252
44,69,111,145,217,218
6,27,84,113,154,178
45,88,103,190,196,232
82,111,178,197,210,234
29,63,66,97,232,241
18,96,103,130,147,153
3,25,70,126,187,191
70,83,111,215,217,242
6,46,83,93,116,160
13,19,22,37,51,67
31,107,129,136,213,245
13,142,147,148,160,178
48,83,90,101,122,194
88,140,161,169,217,224
34,43,131,208,209,222
19,39,118,202,221,243
6,86,109,152,214,247
29,57,64,112,130,245
4,51,91,103,172,181
2,4,24,45,78,94
10,44,60,82,160,245
15,159,184,190,236,253
62,85,106,151,172,212
21,101,167,184,203,254
51,80,122,154,186,228
10,48,80,94,176,250
30,57,131,143,161,178
9,15,116,128,140,167
69,70,116,123,213,251
41,117,122,128,175,190
4,10,84,140,205,253
7,20,64,103,168,176
3,68,134,185,204,214
4,29,53,82,98,255
51,92,114,156,217,254
12,111,129,205,222,241
20,36,97,106,120,136
28,80,159,233,247,251
20,66,73,172,209,252
8,64,122,153,202,206
18,41,53,120,135,244
6,44,111,120,137,216
61,81,111,172,195,198
134,159,176,180,207,212
4,9,29,222,234,247
19,66,70,85,201,235
48,55,127,131,166,221
12,65,66,70,87,248
6,62,103,132,165,205
51,128,133,218,231,247
22,49,70,74,137,187
76,84,101,115,148,180
2,41,187,193,198,204
106,109,137,166,188,193
44,69,94,97,231,236
20,59,114,166,179,203
40,131,171,217,234,244
21,80,107,180,192,244
5,20,38,103,234,240
24,31,69,162,167,205
9,90,156,191,202,204
64,76,88,166,234,244
108,130,166,174,188,239
5,9,16,18,156,185
19,71,85,222,230,247
16,162,181,201,231,232
120,137,159,188,209,239
9,16,54,72,204,211
16,29,47,105,180,248
109,116,135,154,169,208
55,67,161,168,211,236
38,41,125,134,176,249
84,103,120,192,217,231
11,36,51,106,112,125
57,117,173,193,213,228
15,16,33,42,44,241
36,67,89,142,202,254
4,24,40,142,157,164
43,93,122,134,161,181
0,30,80,85,91,140
45,77,166,178,186,235
48,76,81,82,113,172
4,27,34,92,198,226
22,51,138,219,240,248
10,56,82,148,170,196
49,53,71,144,184,224
36,41,56,62,88,207
10,55,91,94,131,166
