0,1,2,3,4,5,6,7
2,5,15,20,47,53,57,72
21,37,40,47,53,54,59,88
8,13,18,38,78,84,86,97
15,21,26,50,74,89,92,94
6,15,45,50,53,75,80,86
7,18,25,37,60,70,81,84
4,17,18,22,23,31,41,70
17,25,35,54,63,87,90,93
8,11,14,20,36,37,47,86
14,30,40,45,55,57,72,86
5,26,38,53,74,85,88,93
4,26,43,53,58,66,77,78
9,20,44,49,52,57,70,78
14,27,30,48,56,59,73,77
12,18,29,61,72,73,76,98
6,12,15,19,45,64,80,87
5,39,45,53,69,74,88,99
1,6,10,24,43,47,49,50
11,20,21,79,80,93,95,97
5,20,30,39,51,87,94,96
9,29,32,46,70,74,75,77
2,30,32,35,57,68,71,91
0,14,21,36,68,80,83,93
1,11,27,28,40,64,68,78
10,15,45,71,73,83,84,98
0,17,23,42,58,89,91,92
19,50,54,64,66,83,88,90
0,5,14,30,41,52,65,73
17,36,45,53,57,63,64,82
3,9,16,17,43,45,77,88
1,41,52,55,64,80,86,88
2,5,15,23,38,67,80,88
29,55,73,83,93,95,97,98
21,29,42,59,66,67,82,99
24,30,35,65,74,78,79,81
9,16,17,25,35,38,55,93
21,43,50,64,77,88,90,97
1,7,18,49,64,78,87,89
32,41,50,52,67,77,88,91
5,7,50,51,53,54,64,65
0,10,13,24,44,66,72,91
8,14,22,35,71,82,92,94
9,12,48,51,72,81,82,97
11,37,45,58,74,77,80,96
2,16,38,53,74,87,90,97
18,19,26,42,58,67,71,79
15,26,42,47,57,60,79,88
3,5,30,40,71,83,87,96
41,48,50,57,72,73,75,78
2,8,34,48,56,75,82,93
12,17,29,31,39,41,57,80
15,22,25,45,59,74,87,89
0,22,34,61,62,68,91,97
9,15,17,28,52,60,78,94
29,34,43,59,68,73,90,92
1,27,34,42,52,64,67,78
7,36,53,57,68,79,90,92
1,10,24,41,54,91,95,99
10,31,34,51,55,62,76,94
1,3,22,35,82,87,88,91
5,6,15,22,80,91,97,99
18,29,47,53,66,80,90,98
21,32,39,47,49,64,89,93
11,27,39,63,69,70,84,94
3,42,47,66,72,82,94,95
12,17,19,20,51,82,84,89
18,26,31,33,40,57,72,75
5,16,67,68,69,81,94,96
29,34,38,47,59,62,71,94
6,26,31,51,53,63,87,89
3,16,25,64,71,92,95,99
4,15,17,45,65,72,82,99
12,14,23,42,51,53,60,93
0,6,23,33,47,49,59,85
1,2,5,11,60,82,93,94
21,51,81,87,92,96,97,99
9,23,25,47,57,64,87,91
2,48,54,67,70,84,98,99
16,34,35,60,74,86,90,95
6,8,37,54,76,82,88,92
35,36,67,68,76,78,89,91
16,19,25,28,52,69,85,89
8,9,11,19,34,37,40,80
13,48,62,80,81,84,87,98
38,43,54,60,67,81,83,92
5,10,13,60,65,77,86,99
19,32,38,59,74,81,91,96
6,35,39,42,55,71,82,98
24,54,70,79,82,85,89,91
3,6,14,16,39,49,65,76
3,5,8,32,34,56,57,89
0,6,43,51,53,61,86,92
16,21,33,42,51,60,74,82
5,19,29,56,59,73,81,90
1,23,52,66,88,89,91,94
18,24,26,31,40,58,77,82
1,5,18,51,55,69,71,97
9,37,41,47,54,67,77,94
6,10,19,60,65,73,77,85
6,11,32,34,43,53,74,76
