0,1,2,3,4,5
6,13,30,37,40,71
2,69,70,81,86,96
4,5,29,55,57,97
7,9,32,60,85,93
11,26,31,47,60,80
4,21,46,51,74,79
18,27,31,63,82,85
27,37,46,63,70,79
12,15,26,31,37,68
24,32,47,55,75,78
0,7,42,57,64,96
3,29,50,55,84,94
6,18,28,33,52,72
14,28,41,70,81,95
8,9,37,43,71,97
16,42,55,67,73,79
0,15,34,52,70,76
0,8,42,46,50,79
9,58,66,73,76,78
22,26,44,47,60,62
23,40,42,52,81,92
11,52,56,79,83,99
21,43,45,56,58,79
25,52,64,78,82,96
10,38,40,43,45,61
1,5,18,60,86,97
4,8,32,33,77,96
6,9,18,24,27,47
24,26,30,31,66,92
28,32,54,58,71,91
2,10,28,63,86,87
25,63,73,79,82,94
5,18,38,84,92,95
21,31,33,38,63,65
5,19,27,53,63,68
47,66,71,94,96,98
27,42,45,69,82,85
2,10,20,45,69,75
24,32,44,62,66,91
2,13,41,51,64,92
0,7,35,48,49,89
4,13,19,45,51,74
6,14,23,57,66,67
16,43,66,80,88,93
11,16,26,67,82,94
0,27,52,66,75,91
2,9,29,56,64,95
5,45,55,59,68,94
8,12,65,72,85,90
2,39,46,56,68,80
24,53,60,76,94,96
19,35,45,54,77,97
10,30,37,47,81,90
5,20,28,64,88,91
25,26,64,78,87,91
1,38,42,56,60,72
35,63,74,82,95,99
12,22,28,64,83,92
18,32,42,78,84,86
12,17,43,91,93,96
0,28,44,48,51,56
9,24,44,58,75,91
49,60,63,71,84,89
20,28,32,79,82,99
10,17,43,70,90,94
26,36,52,77,79,80
25,36,47,53,62,66
1,17,19,63,79,97
52,62,63,77,94,96
0,11,30,65,84,88
21,33,37,42,56,72
22,34,62,68,82,83
7,36,45,50,59,81
11,44,68,78,79,93
4,6,24,30,63,71
18,21,36,37,58,71
9,16,33,60,70,82
32,41,43,55,95,96
25,30,48,60,61,94
8,16,62,66,78,96
13,27,78,83,87,99
58,74,79,88,94,98
1,6,16,20,42,84
8,30,33,72,74,93
11,21,30,41,48,74
5,32,33,37,57,62
9,44,58,75,79,80
5,43,50,78,83,98
36,41,54,62,72,91
34,37,48,52,65,75
14,20,21,38,84,85
13,20,40,46,74,93
23,35,36,39,79,89
2,13,22,32,74,82
11,17,34,44,51,88
20,27,35,38,42,57
6,15,45,87,93,95
21,25,28,45,63,75
2,22,51,66,94,98
18,23,34,73,85,89
